,Abbrev,Long,Category
3065,SdsssP,Sum of dsssP E-states, Atom-type E-state indices
3066,SddsP,Sum of ddsP E-states, Atom-type E-state indices
3067,SsssssP,Sum of sssssP E-states, Atom-type E-state indices
3068,SsSH,Sum of sSH E-states, Atom-type E-state indices
3069,SdS,Sum of dS E-states, Atom-type E-state indices
3070,SssS,Sum of ssS E-states, Atom-type E-state indices
3071,SaaS,Sum of aaS E-states, Atom-type E-state indices
3072,SdssS,Sum of dssS E-states, Atom-type E-state indices
3073,SddssS,Sum of ddssS E-states, Atom-type E-state indices
3074,SssssssS,Sum of ssssssS E-states, Atom-type E-state indices
3075,SsF,Sum of sF E-states, Atom-type E-state indices
3076,SsCl,Sum of sCl E-states, Atom-type E-state indices
3077,SsBr,Sum of sBr E-states, Atom-type E-state indices
3078,SsI,Sum of sI E-states, Atom-type E-state indices
3079,SsLi,Sum of sLi E-states, Atom-type E-state indices
3080,SssBe,Sum of ssBe E-states, Atom-type E-state indices
3081,SssssBe-,Sum of ssssBe- E-states, Atom-type E-state indices
3082,SsBH2,Sum of sBH2 E-states, Atom-type E-state indices
3083,SssBH,Sum of ssBH E-states, Atom-type E-state indices
3084,SsssB,Sum of sssB E-states, Atom-type E-state indices
3085,SssssB-,Sum of ssssB- E-states, Atom-type E-state indices
3086,SsGeH3,Sum of sGeH3 E-states, Atom-type E-state indices
3087,SssGeH2,Sum of ssGeH2 E-states, Atom-type E-state indices
3088,SsssGeH,Sum of sssGeH E-states, Atom-type E-state indices
3089,SssssGe,Sum of ssssGe E-states, Atom-type E-state indices
3090,SsAsH2,Sum of sAsH2 E-states, Atom-type E-state indices
3091,SssAsH,Sum of ssAsH E-states, Atom-type E-state indices
3092,SsssAs,Sum of sssAs E-states, Atom-type E-state indices
3093,SsssssAs,Sum of sssssAs E-states, Atom-type E-state indices
3094,SdsssAs,Sum of dsssAs E-states, Atom-type E-state indices
3095,SddsAs,Sum of ddsAs E-states, Atom-type E-state indices
3096,SsSeH,Sum of sSeH E-states, Atom-type E-state indices
3097,SdSe,Sum of dSe E-states, Atom-type E-state indices
3098,SssSe,Sum of ssSe E-states, Atom-type E-state indices
3099,SaaSe,Sum of aaSe E-states, Atom-type E-state indices
3100,SdssSe,Sum of dssSe E-states, Atom-type E-state indices
3101,SssssssSe,Sum of ssssssSe E-states, Atom-type E-state indices
3102,SddssSe,Sum of ddssSe E-states, Atom-type E-state indices
3103,SsSnH3,Sum of sSnH3 E-states, Atom-type E-state indices
3104,SssSnH2,Sum of ssSnH2 E-states, Atom-type E-state indices
3105,SsssSnH,Sum of sssSnH E-states, Atom-type E-state indices
3106,SssssSn,Sum of ssssSn E-states, Atom-type E-state indices
3107,SsPbH3,Sum of sPbH3 E-states, Atom-type E-state indices
3108,SssPbH2,Sum of ssPbH2 E-states, Atom-type E-state indices
3109,SsssPbH,Sum of sssPbH E-states, Atom-type E-state indices
3110,SssssPb,Sum of ssssPb E-states, Atom-type E-state indices
3111,SsSiH3,Sum of sSiH3 E-states, Atom-type E-state indices
3112,SssSiH2,Sum of ssSiH2 E-states, Atom-type E-state indices
3113,SsssSiH,Sum of sssSiH E-states, Atom-type E-state indices
3114,SssssSi,Sum of ssssSi E-states, Atom-type E-state indices
3115,NsCH3,Number of atoms of type sCH3, Atom-type E-state indices
3116,NdCH2,Number of atoms of type dCH2, Atom-type E-state indices
3117,NssCH2,Number of atoms of type ssCH2, Atom-type E-state indices
3118,NtCH,Number of atoms of type tCH, Atom-type E-state indices
3119,NdsCH,Number of atoms of type dsCH, Atom-type E-state indices
3120,NaaCH,Number of atoms of type aaCH, Atom-type E-state indices
3121,NsssCH,Number of atoms of type sssCH, Atom-type E-state indices
3122,NddC,Number of atoms of type ddC, Atom-type E-state indices
3123,NtsC,Number of atoms of type tsC, Atom-type E-state indices
3124,NdssC,Number of atoms of type dssC, Atom-type E-state indices
3125,NaasC,Number of atoms of type aasC, Atom-type E-state indices
3126,NaaaC,Number of atoms of type aaaC, Atom-type E-state indices
3127,NssssC,Number of atoms of type ssssC, Atom-type E-state indices
3128,NsNH2,Number of atoms of type sNH2, Atom-type E-state indices
3129,NssNH,Number of atoms of type ssNH, Atom-type E-state indices
3130,NdNH,Number of atoms of type dNH, Atom-type E-state indices
3131,NsssN,Number of atoms of type sssN, Atom-type E-state indices
3132,NdsN,Number of atoms of type dsN, Atom-type E-state indices
3133,NaaN,Number of atoms of type aaN, Atom-type E-state indices
3134,NtN,Number of atoms of type tN, Atom-type E-state indices
3135,NsNH3+,Number of atoms of type sNH3+, Atom-type E-state indices
3136,NssNH2+,Number of atoms of type ssNH2+, Atom-type E-state indices
3137,NdNH2+,Number of atoms of type dNH2+, Atom-type E-state indices
3138,NsssNH+,Number of atoms of type sssNH+, Atom-type E-state indices
3139,NssssN+,Number of atoms of type ssssN+, Atom-type E-state indices
3140,NddsN,Number of atoms of type ddsN, Atom-type E-state indices
3141,NaadN,Number of atoms of type aadN, Atom-type E-state indices
3142,NaasN,Number of atoms of type aasN, Atom-type E-state indices
3143,NaaNH,Number of atoms of type aaNH, Atom-type E-state indices
3144,NsOH,Number of atoms of type sOH, Atom-type E-state indices
3145,NdO,Number of atoms of type dO, Atom-type E-state indices
3146,NssO,Number of atoms of type ssO, Atom-type E-state indices
3147,NaaO,Number of atoms of type aaO, Atom-type E-state indices
3148,NsPH2,Number of atoms of type sPH2, Atom-type E-state indices
3149,NssPH,Number of atoms of type ssPH, Atom-type E-state indices
3150,NsssP,Number of atoms of type sssP, Atom-type E-state indices
3151,NdsssP,Number of atoms of type dsssP, Atom-type E-state indices
3152,NddsP,Number of atoms of type ddsP, Atom-type E-state indices
3153,NsssssP,Number of atoms of type sssssP, Atom-type E-state indices
3154,NsSH,Number of atoms of type sSH, Atom-type E-state indices
3155,NdS,Number of atoms of type dS, Atom-type E-state indices
3156,NssS,Number of atoms of type ssS, Atom-type E-state indices
3157,NaaS,Number of atoms of type aaS, Atom-type E-state indices
3158,NdssS,Number of atoms of type dssS, Atom-type E-state indices
3159,NddssS,Number of atoms of type ddssS, Atom-type E-state indices
3160,NssssssS,Number of atoms of type ssssssS, Atom-type E-state indices
3161,NsF,Number of atoms of type sF, Atom-type E-state indices
3162,NsCl,Number of atoms of type sCl, Atom-type E-state indices
3163,NsBr,Number of atoms of type sBr, Atom-type E-state indices
3164,NsI,Number of atoms of type sI, Atom-type E-state indices
3165,NsLi,Number of atoms of type sLi, Atom-type E-state indices
3166,NssBe,Number of atoms of type ssBe, Atom-type E-state indices
3167,NssssBe-,Number of atoms of type ssssBe-, Atom-type E-state indices
3168,NsBH2,Number of atoms of type sBH2, Atom-type E-state indices
3169,NssBH,Number of atoms of type ssBH, Atom-type E-state indices
3170,NsssB,Number of atoms of type sssB, Atom-type E-state indices
3171,NssssB-,Number of atoms of type ssssB-, Atom-type E-state indices
3172,NsGeH3,Number of atoms of type sGeH3, Atom-type E-state indices
3173,NssGeH2,Number of atoms of type ssGeH2, Atom-type E-state indices
3174,NsssGeH,Number of atoms of type sssGeH, Atom-type E-state indices
3175,NssssGe,Number of atoms of type ssssGe, Atom-type E-state indices
3176,NsAsH2,Number of atoms of type sAsH2, Atom-type E-state indices
3177,NssAsH,Number of atoms of type ssAsH, Atom-type E-state indices
3178,NsssAs,Number of atoms of type sssAs, Atom-type E-state indices
3179,NsssssAs,Number of atoms of type sssssAs, Atom-type E-state indices
3180,NdsssAs,Number of atoms of type dsssAs, Atom-type E-state indices
3181,NddsAs,Number of atoms of type ddsAs, Atom-type E-state indices
3182,NsSeH,Number of atoms of type sSeH, Atom-type E-state indices
3183,NdSe,Number of atoms of type dSe, Atom-type E-state indices
3184,NssSe,Number of atoms of type ssSe, Atom-type E-state indices
3185,NaaSe,Number of atoms of type aaSe, Atom-type E-state indices
3186,NdssSe,Number of atoms of type dssSe, Atom-type E-state indices
3187,NssssssSe,Number of atoms of type ssssssSe, Atom-type E-state indices
3188,NddssSe,Number of atoms of type ddssSe, Atom-type E-state indices
3189,NsSnH3,Number of atoms of type sSnH3, Atom-type E-state indices
3190,NssSnH2,Number of atoms of type ssSnH2, Atom-type E-state indices
3191,NsssSnH,Number of atoms of type sssSnH, Atom-type E-state indices
3192,NssssSn,Number of atoms of type ssssSn, Atom-type E-state indices
3193,NsPbH3,Number of atoms of type sPbH3, Atom-type E-state indices
3194,NssPbH2,Number of atoms of type ssPbH2, Atom-type E-state indices
3195,NsssPbH,Number of atoms of type sssPbH, Atom-type E-state indices
3196,NssssPb,Number of atoms of type ssssPb, Atom-type E-state indices
3197,NsSiH3,Number of atoms of type sSiH3, Atom-type E-state indices
3198,NssSiH2,Number of atoms of type ssSiH2, Atom-type E-state indices
3199,NsssSiH,Number of atoms of type sssSiH, Atom-type E-state indices
3200,NssssSi,Number of atoms of type ssssSi, Atom-type E-state indices
3201,minsCH3,Mimimum sCH3, Atom-type E-state indices
3202,mindCH2,Mimimum dCH2, Atom-type E-state indices
3203,minssCH2,Mimimum ssCH2, Atom-type E-state indices
3204,mintCH,Mimimum tCH, Atom-type E-state indices
3205,mindsCH,Mimimum dsCH, Atom-type E-state indices
3206,minaaCH,Mimimum aaCH, Atom-type E-state indices
3207,minsssCH,Mimimum sssCH, Atom-type E-state indices
3208,minddC,Mimimum ddC, Atom-type E-state indices
3209,mintsC,Mimimum tsC, Atom-type E-state indices
3210,mindssC,Mimimum dssC, Atom-type E-state indices
3211,minaasC,Mimimum aasC, Atom-type E-state indices
3212,minaaaC,Mimimum aaaC, Atom-type E-state indices
3213,minssssC,Mimimum ssssC, Atom-type E-state indices
3214,minsNH2,Mimimum sNH2, Atom-type E-state indices
3215,minssNH,Mimimum ssNH, Atom-type E-state indices
3216,mindNH,Mimimum dNH, Atom-type E-state indices
3217,minsssN,Mimimum sssN, Atom-type E-state indices
3218,mindsN,Mimimum dsN, Atom-type E-state indices
3219,minaaN,Mimimum aaN, Atom-type E-state indices
3220,mintN,Mimimum tN, Atom-type E-state indices
3221,minsNH3+,Mimimum sNH3+, Atom-type E-state indices
3222,minssNH2+,Mimimum ssNH2+, Atom-type E-state indices
3223,mindNH2+,Mimimum dNH2+, Atom-type E-state indices
3224,minsssNH+,Mimimum sssNH+, Atom-type E-state indices
3225,minssssN+,Mimimum ssssN+, Atom-type E-state indices
3226,minddsN,Mimimum ddsN, Atom-type E-state indices
3227,minaadN,Mimimum aadN, Atom-type E-state indices
3228,minaasN,Mimimum aasN, Atom-type E-state indices
3229,minaaNH,Mimimum aaNH, Atom-type E-state indices
3230,minsOH,Mimimum sOH, Atom-type E-state indices
3231,mindO,Mimimum dO, Atom-type E-state indices
3232,minssO,Mimimum ssO, Atom-type E-state indices
3233,minaaO,Mimimum aaO, Atom-type E-state indices
3234,minsPH2,Mimimum sPH2, Atom-type E-state indices
3235,minssPH,Mimimum ssPH, Atom-type E-state indices
3236,minsssP,Mimimum sssP, Atom-type E-state indices
3237,mindsssP,Mimimum dsssP, Atom-type E-state indices
3238,minddsP,Mimimum ddsP, Atom-type E-state indices
3239,minsssssP,Mimimum sssssP, Atom-type E-state indices
3240,minsSH,Mimimum sSH, Atom-type E-state indices
3241,mindS,Mimimum dS, Atom-type E-state indices
3242,minssS,Mimimum ssS, Atom-type E-state indices
3243,minaaS,Mimimum aaS, Atom-type E-state indices
3244,mindssS,Mimimum dssS, Atom-type E-state indices
3245,minddssS,Mimimum ddssS, Atom-type E-state indices
3246,minssssssS,Mimimum ssssssS, Atom-type E-state indices
3247,minsF,Mimimum sF, Atom-type E-state indices
3248,minsCl,Mimimum sCl, Atom-type E-state indices
3249,minsBr,Mimimum sBr, Atom-type E-state indices
3250,minsI,Mimimum sI, Atom-type E-state indices
3251,minsLi,Mimimum sLi, Atom-type E-state indices
3252,minssBe,Mimimum ssBe, Atom-type E-state indices
3253,minssssBe-,Mimimum ssssBe-, Atom-type E-state indices
3254,minsBH2,Mimimum sBH2, Atom-type E-state indices
3255,minssBH,Mimimum ssBH, Atom-type E-state indices
3256,minsssB,Mimimum sssB, Atom-type E-state indices
3257,minssssB-,Mimimum ssssB-, Atom-type E-state indices
3258,minsGeH3,Mimimum sGeH3, Atom-type E-state indices
3259,minssGeH2,Mimimum ssGeH2, Atom-type E-state indices
3260,minsssGeH,Mimimum sssGeH, Atom-type E-state indices
3261,minssssGe,Mimimum ssssGe, Atom-type E-state indices
3262,minsAsH2,Mimimum sAsH2, Atom-type E-state indices
3263,minssAsH,Mimimum ssAsH, Atom-type E-state indices
3264,minsssAs,Mimimum sssAs, Atom-type E-state indices
3265,minsssssAs,Mimimum sssssAs, Atom-type E-state indices
3266,mindsssAs,Mimimum dsssAs, Atom-type E-state indices
3267,minddsAs,Mimimum ddsAs, Atom-type E-state indices
3268,minsSeH,Mimimum sSeH, Atom-type E-state indices
3269,mindSe,Mimimum dSe, Atom-type E-state indices
3270,minssSe,Mimimum ssSe, Atom-type E-state indices
3271,minaaSe,Mimimum aaSe, Atom-type E-state indices
3272,mindssSe,Mimimum dssSe, Atom-type E-state indices
3273,minssssssSe,Mimimum ssssssSe, Atom-type E-state indices
3274,minddssSe,Mimimum ddssSe, Atom-type E-state indices
3275,minsSnH3,Mimimum sSnH3, Atom-type E-state indices
3276,minssSnH2,Mimimum ssSnH2, Atom-type E-state indices
3277,minsssSnH,Mimimum sssSnH, Atom-type E-state indices
3278,minssssSn,Mimimum ssssSn, Atom-type E-state indices
3279,minsPbH3,Mimimum sPbH3, Atom-type E-state indices
3280,minssPbH2,Mimimum ssPbH2, Atom-type E-state indices
3281,minsssPbH,Mimimum sssPbH, Atom-type E-state indices
3282,minssssPb,Mimimum ssssPb, Atom-type E-state indices
3283,minsSiH3,Mimimum sSiH3, Atom-type E-state indices
3284,minssSiH2,Mimimum ssSiH2, Atom-type E-state indices
3285,minsssSiH,Mimimum sssSiH, Atom-type E-state indices
3286,minssssSi,Mimimum ssssSi, Atom-type E-state indices
3287,gmin,Mimimum atom E-state value in a molecule, Atom-type E-state indices
3288,MaxsCH3,Maximum sCH3, Atom-type E-state indices
3289,MaxdCH2,Maximum dCH2, Atom-type E-state indices
3290,MaxssCH2,Maximum ssCH2, Atom-type E-state indices
3291,MaxtCH,Maximum tCH, Atom-type E-state indices
3292,MaxdsCH,Maximum dsCH, Atom-type E-state indices
3293,MaxaaCH,Maximum aaCH, Atom-type E-state indices
3294,MaxsssCH,Maximum sssCH, Atom-type E-state indices
3295,MaxddC,Maximum ddC, Atom-type E-state indices
3296,MaxtsC,Maximum tsC, Atom-type E-state indices
3297,MaxdssC,Maximum dssC, Atom-type E-state indices
3298,MaxaasC,Maximum aasC, Atom-type E-state indices
3299,MaxaaaC,Maximum aaaC, Atom-type E-state indices
3300,MaxssssC,Maximum ssssC, Atom-type E-state indices
3301,MaxsNH2,Maximum sNH2, Atom-type E-state indices
3302,MaxssNH,Maximum ssNH, Atom-type E-state indices
3303,MaxdNH,Maximum dNH, Atom-type E-state indices
3304,MaxsssN,Maximum sssN, Atom-type E-state indices
3305,MaxdsN,Maximum dsN, Atom-type E-state indices
3306,MaxaaN,Maximum aaN, Atom-type E-state indices
3307,MaxtN,Maximum tN, Atom-type E-state indices
3308,MaxsNH3+,Maximum sNH3+, Atom-type E-state indices
3309,MaxssNH2+,Maximum ssNH2+, Atom-type E-state indices
3310,MaxdNH2+,Maximum dNH2+, Atom-type E-state indices
3311,MaxsssNH+,Maximum sssNH+, Atom-type E-state indices
3312,MaxssssN+,Maximum ssssN+, Atom-type E-state indices
3313,MaxddsN,Maximum ddsN, Atom-type E-state indices
3314,MaxaadN,Maximum aadN, Atom-type E-state indices
3315,MaxaasN,Maximum aasN, Atom-type E-state indices
3316,MaxaaNH,Maximum aaNH, Atom-type E-state indices
3317,MaxsOH,Maximum sOH, Atom-type E-state indices
3318,MaxdO,Maximum dO, Atom-type E-state indices
3319,MaxssO,Maximum ssO, Atom-type E-state indices
3320,MaxaaO,Maximum aaO, Atom-type E-state indices
3321,MaxsPH2,Maximum sPH2, Atom-type E-state indices
3322,MaxssPH,Maximum ssPH, Atom-type E-state indices
3323,MaxsssP,Maximum sssP, Atom-type E-state indices
3324,MaxdsssP,Maximum dsssP, Atom-type E-state indices
3325,MaxddsP,Maximum ddsP, Atom-type E-state indices
3326,MaxsssssP,Maximum sssssP, Atom-type E-state indices
3327,MaxsSH,Maximum sSH, Atom-type E-state indices
3328,MaxdS,Maximum dS, Atom-type E-state indices
3329,MaxssS,Maximum ssS, Atom-type E-state indices
3330,MaxaaS,Maximum aaS, Atom-type E-state indices
3331,MaxdssS,Maximum dssS, Atom-type E-state indices
3332,MaxddssS,Maximum ddssS, Atom-type E-state indices
3333,MaxssssssS,Maximum ssssssS, Atom-type E-state indices
3334,MaxsF,Maximum sF, Atom-type E-state indices
3335,MaxsCl,Maximum sCl, Atom-type E-state indices
3336,MaxsBr,Maximum sBr, Atom-type E-state indices
3337,MaxsI,Maximum sI, Atom-type E-state indices
3338,MaxsLi,Maximum sLi, Atom-type E-state indices
3339,MaxssBe,Maximum ssBe, Atom-type E-state indices
3340,MaxssssBe-,Maximum ssssBe-, Atom-type E-state indices
3341,MaxsBH2,Maximum sBH2, Atom-type E-state indices
3342,MaxssBH,Maximum ssBH, Atom-type E-state indices
3343,MaxsssB,Maximum sssB, Atom-type E-state indices
3344,MaxssssB-,Maximum ssssB-, Atom-type E-state indices
3345,MaxsGeH3,Maximum sGeH3, Atom-type E-state indices
3346,MaxssGeH2,Maximum ssGeH2, Atom-type E-state indices
3347,MaxsssGeH,Maximum sssGeH, Atom-type E-state indices
3348,MaxssssGe,Maximum ssssGe, Atom-type E-state indices
3349,MaxsAsH2,Maximum sAsH2, Atom-type E-state indices
3350,MaxssAsH,Maximum ssAsH, Atom-type E-state indices
3351,MaxsssAs,Maximum sssAs, Atom-type E-state indices
3352,MaxsssssAs,Maximum sssssAs, Atom-type E-state indices
3353,MaxdsssAs,Maximum dsssAs, Atom-type E-state indices
3354,MaxddsAs,Maximum ddsAs, Atom-type E-state indices
3355,MaxsSeH,Maximum sSeH, Atom-type E-state indices
3356,MaxdSe,Maximum dSe, Atom-type E-state indices
3357,MaxssSe,Maximum ssSe, Atom-type E-state indices
3358,MaxaaSe,Maximum aaSe, Atom-type E-state indices
3359,MaxdssSe,Maximum dssSe, Atom-type E-state indices
3360,MaxssssssSe,Maximum ssssssSe, Atom-type E-state indices
3361,MaxddssSe,Maximum ddssSe, Atom-type E-state indices
3362,MaxsSnH3,Maximum sSnH3, Atom-type E-state indices
3363,MaxssSnH2,Maximum ssSnH2, Atom-type E-state indices
3364,MaxsssSnH,Maximum sssSnH, Atom-type E-state indices
3365,MaxssssSn,Maximum ssssSn, Atom-type E-state indices
3366,MaxsPbH3,Maximum sPbH3, Atom-type E-state indices
3367,MaxssPbH2,Maximum ssPbH2, Atom-type E-state indices
3368,MaxsssPbH,Maximum sssPbH, Atom-type E-state indices
3369,MaxssssPb,Maximum ssssPb, Atom-type E-state indices
3370,MaxsSiH3,Maximum sSiH3, Atom-type E-state indices
3371,MaxssSiH2,Maximum ssSiH2, Atom-type E-state indices
3372,MaxsssSiH,Maximum sssSiH, Atom-type E-state indices
3373,MaxssssSi,Maximum ssssSi, Atom-type E-state indices
3374,gmax,Maximum atom E-state value in a molecule, Atom-type E-state indices
3375,CATS2D_00_DD,CATS2D Donor-Donor at lag 00 (number of H bond donor atoms), Pharmacophore descriptors
3376,CATS2D_01_DD,CATS2D Donor-Donor at lag 01, Pharmacophore descriptors
3377,CATS2D_02_DD,CATS2D Donor-Donor at lag 02, Pharmacophore descriptors
3378,CATS2D_03_DD,CATS2D Donor-Donor at lag 03, Pharmacophore descriptors
3379,CATS2D_04_DD,CATS2D Donor-Donor at lag 04, Pharmacophore descriptors
3380,CATS2D_05_DD,CATS2D Donor-Donor at lag 05, Pharmacophore descriptors
3381,CATS2D_06_DD,CATS2D Donor-Donor at lag 06, Pharmacophore descriptors
3382,CATS2D_07_DD,CATS2D Donor-Donor at lag 07, Pharmacophore descriptors
3383,CATS2D_08_DD,CATS2D Donor-Donor at lag 08, Pharmacophore descriptors
3384,CATS2D_09_DD,CATS2D Donor-Donor at lag 09, Pharmacophore descriptors
3385,CATS2D_00_DA,CATS2D Donor-Acceptor at lag 00 (number of donor-acceptor atoms), Pharmacophore descriptors
3386,CATS2D_01_DA,CATS2D Donor-Acceptor at lag 01, Pharmacophore descriptors
3387,CATS2D_02_DA,CATS2D Donor-Acceptor at lag 02, Pharmacophore descriptors
3388,CATS2D_03_DA,CATS2D Donor-Acceptor at lag 03, Pharmacophore descriptors
3389,CATS2D_04_DA,CATS2D Donor-Acceptor at lag 04, Pharmacophore descriptors
3390,CATS2D_05_DA,CATS2D Donor-Acceptor at lag 05, Pharmacophore descriptors
3391,CATS2D_06_DA,CATS2D Donor-Acceptor at lag 06, Pharmacophore descriptors
3392,CATS2D_07_DA,CATS2D Donor-Acceptor at lag 07, Pharmacophore descriptors
3393,CATS2D_08_DA,CATS2D Donor-Acceptor at lag 08, Pharmacophore descriptors
3394,CATS2D_09_DA,CATS2D Donor-Acceptor at lag 09, Pharmacophore descriptors
3395,CATS2D_00_DP,CATS2D Donor-Positive at lag 00 (number of donor-positive atoms), Pharmacophore descriptors
3396,CATS2D_01_DP,CATS2D Donor-Positive at lag 01, Pharmacophore descriptors
3397,CATS2D_02_DP,CATS2D Donor-Positive at lag 02, Pharmacophore descriptors
3398,CATS2D_03_DP,CATS2D Donor-Positive at lag 03, Pharmacophore descriptors
3399,CATS2D_04_DP,CATS2D Donor-Positive at lag 04, Pharmacophore descriptors
3400,CATS2D_05_DP,CATS2D Donor-Positive at lag 05, Pharmacophore descriptors
3401,CATS2D_06_DP,CATS2D Donor-Positive at lag 06, Pharmacophore descriptors
3402,CATS2D_07_DP,CATS2D Donor-Positive at lag 07, Pharmacophore descriptors
3403,CATS2D_08_DP,CATS2D Donor-Positive at lag 08, Pharmacophore descriptors
3404,CATS2D_09_DP,CATS2D Donor-Positive at lag 09, Pharmacophore descriptors
3405,CATS2D_00_DN,CATS2D Donor-Negative at lag 00 (number of donor-negative atoms), Pharmacophore descriptors
3406,CATS2D_01_DN,CATS2D Donor-Negative at lag 01, Pharmacophore descriptors
3407,CATS2D_02_DN,CATS2D Donor-Negative at lag 02, Pharmacophore descriptors
3408,CATS2D_03_DN,CATS2D Donor-Negative at lag 03, Pharmacophore descriptors
3409,CATS2D_04_DN,CATS2D Donor-Negative at lag 04, Pharmacophore descriptors
3410,CATS2D_05_DN,CATS2D Donor-Negative at lag 05, Pharmacophore descriptors
3411,CATS2D_06_DN,CATS2D Donor-Negative at lag 06, Pharmacophore descriptors
3412,CATS2D_07_DN,CATS2D Donor-Negative at lag 07, Pharmacophore descriptors
3413,CATS2D_08_DN,CATS2D Donor-Negative at lag 08, Pharmacophore descriptors
3414,CATS2D_09_DN,CATS2D Donor-Negative at lag 09, Pharmacophore descriptors
3415,CATS2D_00_DL,CATS2D Donor-Lipophilic at lag 00 (number of donor-lipohilic atoms), Pharmacophore descriptors
3416,CATS2D_01_DL,CATS2D Donor-Lipophilic at lag 01, Pharmacophore descriptors
3417,CATS2D_02_DL,CATS2D Donor-Lipophilic at lag 02, Pharmacophore descriptors
3418,CATS2D_03_DL,CATS2D Donor-Lipophilic at lag 03, Pharmacophore descriptors
3419,CATS2D_04_DL,CATS2D Donor-Lipophilic at lag 04, Pharmacophore descriptors
3420,CATS2D_05_DL,CATS2D Donor-Lipophilic at lag 05, Pharmacophore descriptors
3421,CATS2D_06_DL,CATS2D Donor-Lipophilic at lag 06, Pharmacophore descriptors
3422,CATS2D_07_DL,CATS2D Donor-Lipophilic at lag 07, Pharmacophore descriptors
3423,CATS2D_08_DL,CATS2D Donor-Lipophilic at lag 08, Pharmacophore descriptors
3424,CATS2D_09_DL,CATS2D Donor-Lipophilic at lag 09, Pharmacophore descriptors
3425,CATS2D_00_AA,CATS2D Acceptor-Acceptor at lag 00 (number of H bond acceptor atom), Pharmacophore descriptors
3426,CATS2D_01_AA,CATS2D Acceptor-Acceptor at lag 01, Pharmacophore descriptors
3427,CATS2D_02_AA,CATS2D Acceptor-Acceptor at lag 02, Pharmacophore descriptors
3428,CATS2D_03_AA,CATS2D Acceptor-Acceptor at lag 03, Pharmacophore descriptors
3429,CATS2D_04_AA,CATS2D Acceptor-Acceptor at lag 04, Pharmacophore descriptors
3430,CATS2D_05_AA,CATS2D Acceptor-Acceptor at lag 05, Pharmacophore descriptors
3431,CATS2D_06_AA,CATS2D Acceptor-Acceptor at lag 06, Pharmacophore descriptors
3432,CATS2D_07_AA,CATS2D Acceptor-Acceptor at lag 07, Pharmacophore descriptors
3433,CATS2D_08_AA,CATS2D Acceptor-Acceptor at lag 08, Pharmacophore descriptors
3434,CATS2D_09_AA,CATS2D Acceptor-Acceptor at lag 09, Pharmacophore descriptors
3435,CATS2D_00_AP,CATS2D Acceptor-Positive at lag 00 (number of acceptor-positive atoms), Pharmacophore descriptors
3436,CATS2D_01_AP,CATS2D Acceptor-Positive at lag 01, Pharmacophore descriptors
3437,CATS2D_02_AP,CATS2D Acceptor-Positive at lag 02, Pharmacophore descriptors
3438,CATS2D_03_AP,CATS2D Acceptor-Positive at lag 03, Pharmacophore descriptors
3439,CATS2D_04_AP,CATS2D Acceptor-Positive at lag 04, Pharmacophore descriptors
3440,CATS2D_05_AP,CATS2D Acceptor-Positive at lag 05, Pharmacophore descriptors
3441,CATS2D_06_AP,CATS2D Acceptor-Positive at lag 06, Pharmacophore descriptors
3442,CATS2D_07_AP,CATS2D Acceptor-Positive at lag 07, Pharmacophore descriptors
3443,CATS2D_08_AP,CATS2D Acceptor-Positive at lag 08, Pharmacophore descriptors
3444,CATS2D_09_AP,CATS2D Acceptor-Positive at lag 09, Pharmacophore descriptors
3445,CATS2D_00_AN,CATS2D Acceptor-Negative at lag 00 (number of acceptor-negative atoms), Pharmacophore descriptors
3446,CATS2D_01_AN,CATS2D Acceptor-Negative at lag 01, Pharmacophore descriptors
3447,CATS2D_02_AN,CATS2D Acceptor-Negative at lag 02, Pharmacophore descriptors
3448,CATS2D_03_AN,CATS2D Acceptor-Negative at lag 03, Pharmacophore descriptors
3449,CATS2D_04_AN,CATS2D Acceptor-Negative at lag 04, Pharmacophore descriptors
3450,CATS2D_05_AN,CATS2D Acceptor-Negative at lag 05, Pharmacophore descriptors
3451,CATS2D_06_AN,CATS2D Acceptor-Negative at lag 06, Pharmacophore descriptors
3452,CATS2D_07_AN,CATS2D Acceptor-Negative at lag 07, Pharmacophore descriptors
3453,CATS2D_08_AN,CATS2D Acceptor-Negative at lag 08, Pharmacophore descriptors
3454,CATS2D_09_AN,CATS2D Acceptor-Negative at lag 09, Pharmacophore descriptors
3455,CATS2D_00_AL,CATS2D Acceptor-Lipophilic at lag 00 (number of acceptor-lipophilic atoms), Pharmacophore descriptors
3456,CATS2D_01_AL,CATS2D Acceptor-Lipophilic at lag 01, Pharmacophore descriptors
3457,CATS2D_02_AL,CATS2D Acceptor-Lipophilic at lag 02, Pharmacophore descriptors
3458,CATS2D_03_AL,CATS2D Acceptor-Lipophilic at lag 03, Pharmacophore descriptors
3459,CATS2D_04_AL,CATS2D Acceptor-Lipophilic at lag 04, Pharmacophore descriptors
3460,CATS2D_05_AL,CATS2D Acceptor-Lipophilic at lag 05, Pharmacophore descriptors
3461,CATS2D_06_AL,CATS2D Acceptor-Lipophilic at lag 06, Pharmacophore descriptors
3462,CATS2D_07_AL,CATS2D Acceptor-Lipophilic at lag 07, Pharmacophore descriptors
3463,CATS2D_08_AL,CATS2D Acceptor-Lipophilic at lag 08, Pharmacophore descriptors
3464,CATS2D_09_AL,CATS2D Acceptor-Lipophilic at lag 09, Pharmacophore descriptors
